Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
CYP,2015-01-01,2015-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2015,2015,I$,34567.8,X,
CYP,2016-01-01,2016-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2016,2016,I$,36671.6,X,
CYP,2017-01-01,2017-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2017,2017,I$,38415.1,X,
CYP,2018-01-01,2018-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2018,2018,I$,40092.7,X,
CYP,2019-01-01,2019-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2019,2019,I$,41739.5,X,
CYP,2020-01-01,2020-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2020,2020,I$,39464.5,X,
CYP,2021-01-01,2021-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2021,2021,I$,41694.3,X,
CYP,2000-01-01,2002-12-31,50,'196,Cyprus,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20002002,2002,%,5.2,E,
CYP,2001-01-01,2003-12-31,50,'196,Cyprus,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20012003,2003,%,5.8,E,
CYP,2002-01-01,2004-12-31,50,'196,Cyprus,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20022004,2004,%,6.2,E,
CYP,2003-01-01,2005-12-31,50,'196,Cyprus,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20032005,2005,%,7,E,
CYP,2004-01-01,2006-12-31,50,'196,Cyprus,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20042006,2006,%,7.7,E,
CYP,2005-01-01,2007-12-31,50,'196,Cyprus,210041,Prevalence of undernourishment (percent) (3-year average),6121,Value,20052007,2007,%,7.7,E,
