Gender,Customer_ID,Category,Product_Description,Date,Colour,Size,Quantity_Sold,Sub_Total,Shipping_Fee,Total_Amount,Bill_To_City,Type_Of_Sale
Male,5e80283767d51f403226fa272246e93b,T Shirts,Nike Vapor Men Polo #24,45281,Light Blue,3XL,1,2400,330,2730,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,T Shirts,Nike Vapor Men Polo #24,45281,Black,3XL,1,2400,330,2730,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,T Shirts,Nike Vapor Men Polo #24,45281,White,3XL,1,2400,330,2730,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,Hoodies,Nike Jacket 2Layer Division #15,44895,Black,3XL,1,2800,320,3120,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,Hoodies,Nike Jacket 2Layer Division #15,44893,Dark Blue,3XL,1,2800,320,3120,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,Hoodies,Nike Cotton Hoodie #09,44721,Gray,3XL,1,2500,280,2780,Nairobi,Online
Male,953e9af973168e81012e7e0ec567052c,Caps,Nike Heritage 86 Cap #17,44954,Black,O.S,1,1850,0,1850,Nakuru,Walk In
Male,4b4e7040a1f21fa2e3692ddd43161df4,Shorts,Nike Dri-fit Shorts #05,44219,Black White,XL,1,1600,0,1600,Mombasa,Online
Male,4b4e7040a1f21fa2e3692ddd43161df4,T Shirts,Nike Dri-fit Tshirts #05,44219,White,XL,1,1600,0,1600,Mombasa,Online
Male,16dd4653dbab3cd4c6bd0f017a4e25bd,Shorts,Adidas Shorts,44032,Black,XL,1,1500,0,1500,Mombasa,Online
Male,16dd4653dbab3cd4c6bd0f017a4e25bd,Shorts,Nike SB Shorts,44032,White,L,1,1500,0,1500,Mombasa,Online
Male,0367d05727d9699881cd6d0b746468d2,T Shirts,Nike Dri-fit Tee,43973,White,XL,1,1500,0,1500,Mombasa,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Nike SB Shorts,43973,White,XL,1,1500,0,1500,Mombasa,Online
Male,0367d05727d9699881cd6d0b746468d2,T Shirts,Nike Dri-fit Tee,43974,Blue,XL,1,1500,0,1500,Mombasa,Online
Male,0367d05727d9699881cd6d0b746468d2,T Shirts,Nike Dri-fit Tee,43974,Maroon,L,1,1500,0,1500,Mombasa,Online
Male,0367d05727d9699881cd6d0b746468d2,Jackets,Adidas Jacket,44040,Brown,L,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Joggers,Adidas Joggers,44040,Brown,L,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Adidas Shorts,44040,Beige,M,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Bottoms,Adidas Truncate,44014,Gray,L,1,1600,0,1600,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Bottoms,Adidas Truncate,44014,Black,XL,1,1600,0,1600,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Jackets,Nike Dri-fit Jacket,44014,Black,L,1,1700,0,1700,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Nike Men PRINT Shorts #27,45386,Black,L,1,2400,330,2730,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Nike Men PRINT Shorts #27,45386,Dark Gray,L,1,2400,330,2730,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Nike Men PRINT Shorts #27,45386,Blue,L,1,2400,330,2730,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Nike Men PRINT Shorts #27,45386,Green,L,1,2400,330,2730,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Shorts,Nike Men PRINT Shorts #27,45386,Light Gray,L,1,2400,330,2730,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Jackets,Adidas Jacket,44028,Black-White,L,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Joggers,Adidas Joggers,44028,Black-White,L,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Joggers,Adidas Joggers,44047,Brown,L,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,Jackets,Adidas Jacket,44047,Brown,L,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,T Shirts,Nike Dri-fit Tee,43979,White,XXL,1,1500,0,1500,Nairobi,Online
Male,0367d05727d9699881cd6d0b746468d2,T Shirts,Nike Dri-fit Tee,43979,Black,L,1,1500,0,1500,Nairobi,Online
Male,ff79a7e11fe2d4aaf778be2844b688c9,Shorts,Nike Men Versatile Shorts #22,45258,White - Gray,M,1,2500,330,2830,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Shorts,Nike Men Cool Shorts #18,45107,Black,4XL,1,1800,320,2120,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Shorts,Nike Men Cool Shorts #18,45107,Dark Blue,4XL,1,1800,320,2120,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Shorts,Nike Men Cool Shorts #18,45107,Light Gray,4XL,1,1800,320,2120,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Shorts,Nike Men Cool Shorts #18,45107,Blue Gray,4XL,1,1800,320,2120,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Jackets,Puma Iconic T7 Jacket #18,45107,Black Camo Orang,2XL,1,3100,320,3420,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Joggers,Nike Therma Men Joggers #09,45107,Light Blue,5XL,1,2900,320,3220,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Bottoms,Men Compression Pants #18,45107,Dark Gray,2XL,1,1800,320,2120,Nairobi,Online
Male,ff79a7e11fe2d4aaf778be2844b688c9,Shorts,Nike Academy Men Shorts #20,45210,Dark Gray,M,1,2000,330,2330,Nairobi,Online
Male,ff79a7e11fe2d4aaf778be2844b688c9,Shorts,Nike Academy Men Shorts #20,45210,Green,M,1,2000,330,2330,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Jackets,Puma Iconic T7 Jacket #18,45111,Black Camo Orang,2XL,-1,3100,320,3420,Nairobi,Online
Male,cfc8bc5ec49ea0050ca157452c17506c,Sneakers,Reebok Lite,45111,Cobalt,11.5,1,7100,320,7420,Nairobi,Online
Male,4f5070faf83e5c0f4d616448b7bf8b89,Shorts,Nike Men PRINT Shorts #27,45398,Green,2XL,1,2500,0,2500,Nairobi,Online
